YearStart,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Class,Topic,Question,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Break_Out_Category,Break_Out,ClassId,TopicId,QuestionId,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationId,GeoLocation
2019,US,United States,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",5395.0,5395.0,,,5381.7,5408.2,Gender,Male,C1,T1,MD101,Crude,BOC02,GEN01,59,
2019,MT,Montana,Medicare,None,,None,,Cardiovascular Diseases,Stroke,"Prevalence of in-hospital mortality among cerebrovascular disease (stroke) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),0.0,0.0,,,-1.0,-1.0,Race,Non-Hispanic Asian,C1,T6,MD603,Crude,BOC04,RAC03,30,POINT (-109.4244206 47.06652897)
2019,US,United States,Medicare,None,,None,,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of in-hospital mortality among acute myocardial infarction (heart attack) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),9.3,9.3,,,8.2,10.5,Race,Non-Hispanic Asian,C1,T3,MD403,Crude,BOC04,RAC03,59,
2019,UT,Utah,Medicare,None,,None,,Cardiovascular Diseases,Stroke,Cerebrovascular disease (stroke) hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",780.9,780.9,,,485.4,1256.1,Race,Hispanic,C1,T6,MD601,Crude,BOC04,RAC04,49,POINT (-111.5871306 39.36070017)
2019,OH,Ohio,Medicare,None,,None,,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of in-hospital mortality among coronary heart disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),4.1,4.1,,,3.6,4.6,Gender,Male,C1,T4,MD303,Crude,BOC02,GEN01,39,POINT (-82.40426006 40.06021014)
2019,ID,Idaho,Medicare,None,,None,,Cardiovascular Diseases,Heart Failure,"Prevalence of in-hospital mortality among heart failure hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),0.0,0.0,,,0.0,0.0,Race,Unknown,C1,T5,MD503,Crude,BOC04,RAC08,16,POINT (-114.36373 43.68263001)
2019,US,United States,Medicare,None,,None,,Cardiovascular Diseases,Heart Failure,"Prevalence of in-hospital mortality among heart failure hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),3.9,3.9,,,2.1,7.3,Race,Unknown,C1,T5,MD503,Crude,BOC04,RAC08,59,
2019,OR,Oregon,Medicare,None,,None,,Cardiovascular Diseases,Stroke,Cerebrovascular disease (stroke) hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",796.0,796.0,,,755.2,839.1,Gender,Female,C1,T6,MD601,Crude,BOC02,GEN02,41,POINT (-120.1550313 44.56744942)
2019,US,United States,Medicare,None,,None,,Cardiovascular Diseases,Stroke,"Prevalence of in-hospital mortality among cerebrovascular disease (stroke) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),4.8,4.8,,,4.0,5.6,Race,Unknown,C1,T6,MD603,Crude,BOC04,RAC08,59,
2019,PA,Pennsylvania,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",4506.9,4506.9,,,4446.9,4567.7,Gender,Male,C1,T2,MD201,Crude,BOC02,GEN01,42,POINT (-77.86070029 40.79373015)
2019,FL,Florida,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),3.2,3.2,,,1.9,5.6,Race,Non-Hispanic Asian,C1,T2,MD203,Crude,BOC04,RAC03,12,POINT (-81.92896054 28.93204038)
